[2016-05-04 00:22:00.306690]; PopCmd ; QueueEmpty
[2016-05-04 00:22:01.314402]; ReceiveUART ; 
[2016-05-04 00:22:01.318405]; PopCmd ; QueueEmpty
[2016-05-04 00:22:02.329117]; ReceiveUART ; 
[2016-05-04 00:22:02.332120]; PopCmd ; QueueEmpty
[2016-05-04 00:22:03.339998]; ReceiveUART ; 
[2016-05-04 00:22:03.344001]; PopCmd ; QueueEmpty
[2016-05-04 00:22:04.354580]; ReceiveUART ; 
[2016-05-04 00:22:04.357585]; PopCmd ; QueueEmpty
[2016-05-04 00:22:05.368859]; ReceiveUART ; 
[2016-05-04 00:22:05.372861]; PopCmd ; QueueEmpty
[2016-05-04 00:22:06.386446]; ReceiveUART ; 
[2016-05-04 00:22:06.391449]; PopCmd ; QueueEmpty
[2016-05-04 00:22:07.402461]; ReceiveUART ; 
[2016-05-04 00:22:07.407465]; PopCmd ; QueueEmpty
[2016-05-04 00:22:08.417569]; ReceiveUART ; 
[2016-05-04 00:22:08.421571]; PopCmd ; QueueEmpty
[2016-05-04 00:22:09.430828]; ReceiveUART ; 
[2016-05-04 00:22:09.434830]; PopCmd ; QueueEmpty
[2016-05-04 00:22:10.444333]; ReceiveUART ; 
[2016-05-04 00:22:10.448323]; PopCmd ; QueueEmpty
[2016-05-04 00:22:11.458422]; ReceiveUART ; 
[2016-05-04 00:22:11.463425]; PopCmd ; QueueEmpty
[2016-05-04 00:22:12.475731]; ReceiveUART ; 
[2016-05-04 00:22:12.478733]; PopCmd ; QueueEmpty
[2016-05-04 00:22:13.488583]; ReceiveUART ; 
[2016-05-04 00:22:13.492572]; PopCmd ; QueueEmpty
[2016-05-04 00:22:14.501764]; ReceiveUART ; 
[2016-05-04 00:22:14.504767]; PopCmd ; QueueEmpty
[2016-05-04 00:22:15.518988]; ReceiveUART ; 
[2016-05-04 00:22:15.524992]; PopCmd ; QueueEmpty
[2016-05-04 00:22:16.534778]; ReceiveUART ; 
[2016-05-04 00:22:16.539781]; PopCmd ; QueueEmpty
[2016-05-04 00:22:17.549428]; ReceiveUART ; 
[2016-05-04 00:22:17.553433]; PopCmd ; QueueEmpty
[2016-05-04 00:22:18.564116]; ReceiveUART ; 
[2016-05-04 00:22:18.567117]; PopCmd ; QueueEmpty
[2016-05-04 00:22:19.578167]; ReceiveUART ; 
[2016-05-04 00:22:19.581171]; PopCmd ; QueueEmpty
[2016-05-04 00:22:20.592323]; ReceiveUART ; 
[2016-05-04 00:22:20.598331]; PopCmd ; QueueEmpty
[2016-05-04 00:22:21.612337]; ReceiveUART ; 
[2016-05-04 00:22:21.615340]; PopCmd ; QueueEmpty
[2016-05-04 00:22:22.625397]; ReceiveUART ; 
[2016-05-04 00:22:22.629391]; PopCmd ; QueueEmpty
[2016-05-04 00:22:23.641014]; ReceiveUART ; 
[2016-05-04 00:22:23.644016]; PopCmd ; QueueEmpty
[2016-05-04 00:22:24.654090]; ReceiveUART ; 
[2016-05-04 00:22:24.658092]; PopCmd ; QueueEmpty
[2016-05-04 00:22:25.665881]; ReceiveUART ; 
[2016-05-04 00:22:25.669884]; PopCmd ; QueueEmpty
[2016-05-04 00:22:26.679552]; ReceiveUART ; 
[2016-05-04 00:22:26.685558]; PopCmd ; QueueEmpty
[2016-05-04 00:22:27.697808]; ReceiveUART ; 
[2016-05-04 00:22:27.700810]; PopCmd ; QueueEmpty
[2016-05-04 00:22:28.710038]; ReceiveUART ; 
[2016-05-04 00:22:28.713040]; PopCmd ; QueueEmpty
[2016-05-04 00:22:29.722390]; ReceiveUART ; 
[2016-05-04 00:22:29.726403]; PopCmd ; QueueEmpty
[2016-05-04 00:22:30.732858]; ReceiveUART ; 
[2016-05-04 00:22:30.737864]; PopCmd ; QueueEmpty
[2016-05-04 00:22:31.744669]; ReceiveUART ; 
[2016-05-04 00:22:31.748673]; PopCmd ; QueueEmpty
[2016-05-04 00:22:32.757920]; ReceiveUART ; 
[2016-05-04 00:22:32.760923]; PopCmd ; QueueEmpty
[2016-05-04 00:22:33.770786]; ReceiveUART ; 
[2016-05-04 00:22:33.774776]; PopCmd ; QueueEmpty
